"","hgnc_symbol","chromosome_name","start_position","end_position"
"ZNF367","ZNF367","9",96385941,96418370
"LINC02295","LINC02295","14",98135776,98163289
"KLK12","KLK12","19",51029092,51035230
"HIF1A-AS3","HIF1A-AS3","14",61678402,61751163
"HABP4","HABP4","9",96450169,96491336
"NAA80","NAA80","3",50296402,50299416
"TMEM114","TMEM114","16",8537605,8590511
"FIP1L1","FIP1L1","4",53377569,53464382
"MTA1-DT","MTA1-DT","14",105416884,105419739
"DHX32","DHX32","10",125836337,125896436
"CDC14B","CDC14B","9",96490241,96619843
"AIDA","AIDA","1",222668013,222713210
"LINC01550","LINC01550","14",97924637,97987918
"FGF12-AS1","FGF12-AS1","3",192238037,192283097
"CREBL2","CREBL2","12",12611827,12645108
"NDRG4","NDRG4","16",58462846,58513628
"LINC01278","LINC01278","X",63222993,63561095
"KLK13","KLK13","19",51055626,51065114
"FGF12-AS2","FGF12-AS2","3",192515022,192516573
"FGF12-AS3","FGF12-AS3","3",192516831,192521398
"GPR19","GPR19","12",12660890,12696207
"DNAJB11","DNAJB11","3",186567403,186585800
"APOLD1","APOLD1","12",12725917,12829975
"FANK1","FANK1","10",125896564,126009592
"DDX47","DDX47","12",12813316,12829981
"SLC39A11","SLC39A11","17",72645949,73092712
"BROX","BROX","1",222712553,222735196
"TSEN2","TSEN2","3",12484421,12541549
"LINC02691","LINC02691","14",104223496,104315671
"FANK1-AS1","FANK1-AS1","10",125972188,125973126
"LINC02960","LINC02960","14",90382783,90388356
"ABRAXAS2","ABRAXAS2","10",124801819,124836667
"DNAJC10","DNAJC10","2",182716255,182794464
"KLK14","KLK14","19",51077495,51084245
"CTBP2","CTBP2","10",124984317,125161170
"SPDYE4","SPDYE4","17",8747524,8758559
"LINC02322","LINC02322","14",60304690,60327783
"CTU1","CTU1","19",51097606,51108409
"USP36","USP36","17",78787381,78841441
"SIGLEC9","SIGLEC9","19",51124906,51136651
"MIR493HG","MIR493HG","14",100836269,100947194
"FRMD6-AS2","FRMD6-AS2","14",51379509,51651744
"FOXG1-AS1","FOXG1-AS1","14",28723436,28766589
"ATP2A2","ATP2A2","12",110280756,110351093
"SIGLEC7","SIGLEC7","19",51142299,51153526
"NRIR","NRIR","2",6819463,6840464
"ERMAP","ERMAP","1",42817122,42844991
"LINC01284","LINC01284","X",51079060,51396884
"SPATA31C1","SPATA31C1","9",87914488,87923657
"RSAD2","RSAD2","2",6865557,6898239
"PLXNB1","PLXNB1","3",48403854,48430086
"OR10AC1","OR10AC1","7",143509256,143519469
"ZNF454","ZNF454","5",178941191,178966433
"LINC02604","LINC02604","7",66902857,66906297
"SPINK4","SPINK4","9",33218365,33248567
"GIMAP5","GIMAP5","7",150722253,150750033
"KTN1-AS1","KTN1-AS1","14",55496786,55581068
"BAG1","BAG1","9",33247820,33264720
"LSM8","LSM8","7",118184144,118204035
"RNF144A","RNF144A","2",6917412,7068286
"GRM6","GRM6","5",178977587,178996206
"RNLS","RNLS","10",88273864,88584530
"LRFN5-DT","LRFN5-DT","14",41562173,41605992
"ACTA2-AS1","ACTA2-AS1","10",88932390,88940820
"ZNF879","ZNF879","5",179023804,179035064
"CNPY1","CNPY1","7",155474206,155555450
"CD33","CD33","19",51225064,51243860
"SANBR","SANBR","2",61065871,61138034
"LINC02285","LINC02285","14",101120835,101123570
"ZNF354C","ZNF354C","5",179060373,179083977
"ZNF32-AS1","ZNF32-AS1","10",43643872,43645047
"ZNF691","ZNF691","1",42846573,42852477
"TTYH3","TTYH3","7",2631961,2664802
"CCNY","CCNY","10",35247025,35572669
"ADAMTS2","ADAMTS2","5",179110853,179345461
"CHMP5","CHMP5","9",33264879,33282070
"IGLON5","IGLON5","19",51311644,51330891
"PYM1","PYM1","12",55901413,55932618
"DISP1","DISP1","1",222815022,223005995
"TLN1","TLN1","9",35696948,35732195
"VSIG10L","VSIG10L","19",51331536,51342139
"PVRIG","PVRIG","7",100218241,100221490
"PMEL","PMEL","12",55954105,55973317
"ETFB","ETFB","19",51345169,51366388
"LINC03070","LINC03070","X",5653418,5726388
"RAC1","RAC1","7",6374527,6403967
"NMI","NMI","2",151270470,151289894
"FAM193B","FAM193B","5",177519789,177554586
"TAF15","TAF15","17",35809482,35864615
"CLDND2","CLDND2","19",51367098,51369003
"HSD3B1","HSD3B1","1",119507198,119515054
"ACTN1-DT","ACTN1-DT","14",68978862,68987463
"NKG7","NKG7","19",51371606,51372701
"DICER1-AS1","DICER1-AS1","14",95157645,95181475
"DNAJC5B","DNAJC5B","8",66021553,66101245
"TNFAIP6","TNFAIP6","2",151357592,151380046
"GJD4","GJD4","10",35605341,35608935
"LINC00622","LINC00622","1",119597702,119599271
"LIM2","LIM2","19",51379909,51387974
"FZD8","FZD8","10",35638247,35642296
"ZNF697","ZNF697","1",119619377,119648266
"LINC02656","LINC02656","10",6350316,6352762
"PRKCQ","PRKCQ","10",6427143,6580301
"MLXIPL","MLXIPL","7",73593194,73624543
"HMGCS2","HMGCS2","1",119748002,119768905
"STAG2-AS1","STAG2-AS1","X",123923111,123961639
"TRPS1-AS1","TRPS1-AS1","8",115509602,115511325
"LINC02328","LINC02328","14",85911438,86161539
"C19orf84","C19orf84","19",51388289,51390591
"PTDSS1","PTDSS1","8",96261902,96336995
"RIF1","RIF1","2",151409883,151508013
"LINC02316","LINC02316","14",86006893,86062981
"SIGLEC10","SIGLEC10","19",51410020,51417803
"ASGR2","ASGR2","17",7101322,7115700
"REG4","REG4","1",119794017,119811580
"ERBIN","ERBIN","5",65883128,66082546
"PNN-AS1","PNN-AS1","14",39174875,39175880
"LINC02320","LINC02320","14",101628309,101760448
"LINC00239","LINC00239","14",101730437,101732534
"LINC02300","LINC02300","14",28502929,28613662
"ADGRD2","ADGRD2","9",124450451,124478589
"ADAM30","ADAM30","1",119893533,119896515
"LINC01545","LINC01545","X",46886710,46912738
"CDK2","CDK2","12",55966781,55972789
"PYY","PYY","17",43952733,44004469
"CCDC51","CCDC51","3",48432164,48440456
"ADIRF","ADIRF","10",86968432,87007922
"EPOP","EPOP","17",38671703,38674957
"ODF2","ODF2","9",128455186,128501292
"PHGDH","PHGDH","1",119648411,119744218
"TNFRSF11B","TNFRSF11B","8",118923557,118951885
"MLLT6","MLLT6","17",38705273,38729795
"TMA7","TMA7","3",48440257,48444208
"LINC00630","LINC00630","X",102720701,102997186
"TREX1","TREX1","3",48465811,48467645
"LINC00842","LINC00842","10",46398362,46487793
"FAM245B","FAM245B","10",46721002,46791740
"CISD3","CISD3","17",38730341,38735605
"SNAI2","SNAI2","8",48917598,48921740
"PFKFB4","PFKFB4","3",48517684,48562015
"TMEM106B","TMEM106B","7",12211270,12243367
"PCGF2","PCGF2","17",38733898,38749817
"GLIPR1L1","GLIPR1L1","12",75334670,75370560
"MTBP","MTBP","8",120445400,120542133
"EEF1AKMT2","EEF1AKMT2","10",124748149,124791887
"CCDC88C-DT","CCDC88C-DT","14",91418171,91421239
"GLIPR1L2","GLIPR1L2","12",75391089,75432688
"LINC02303","LINC02303","14",45706250,45715952
"LINC02622","LINC02622","10",70918766,70958697
"SGPL1","SGPL1","10",70815905,70958701
"GLIPR1","GLIPR1","12",75480753,75503863
"ARHGAP5-AS1","ARHGAP5-AS1","14",32073914,32076861
"NRF1","NRF1","7",129611720,129757082
"PSMB3","PSMB3","17",38752741,38764225
"GLIPR1-AS1","GLIPR1-AS1","12",75483454,75489820
"LINC02323","LINC02323","14",102545223,102591269
"KRR1","KRR1","12",75490863,75511636
"TMEM72","TMEM72","10",44911316,44937010
"MTERF3","MTERF3","8",96239398,96261610
"MIR222HG","MIR222HG","X",45745210,45851873
"FBXW7","FBXW7","4",152320544,152536092
"RASSF4","RASSF4","10",44959407,44995891
"SIGLECL1","SIGLECL1","19",51246348,51269330
"PIP4K2B","PIP4K2B","17",38765691,38800126
"LINC01588","LINC01588","14",49927213,50105121
"CWC25","CWC25","17",38800441,38825355
"TARM1","TARM1","19",54069895,54081365
"LILRB3","LILRB3","19",54216278,54223506
"OR6C4","OR6C4","12",55549602,55555832
"CYRIA","CYRIA","2",16549459,16666331
"DEPP1","DEPP1","10",44970981,44978809
"KCNH6","KCNH6","17",63523334,63548977
"BAG6","BAG6","6",31639028,31652705
"ZNF22","ZNF22","10",45000923,45005326
"MRPL13","MRPL13","8",120380761,120445402
"ERBB3","ERBB3","12",56076799,56103505
"UBE2H","UBE2H","7",129830732,129952960
"LINC02601","LINC02601","X",41275626,41277443
"OR13A1","OR13A1","10",45302298,45315608
"ALOX5","ALOX5","10",45374176,45446119
"LINC00892","LINC00892","X",136639531,136642546
"CCN3","CCN3","8",119416446,119424434
"TMEM74","TMEM74","8",108606850,108787594
"MIR325HG","MIR325HG","X",76656866,77014532
"FBXW7-AS1","FBXW7-AS1","4",152337655,152338098
"FBXO32","FBXO32","8",123497889,123541206
"KANSL3","KANSL3","2",96593170,96642787
"TIGD4","TIGD4","4",152769354,152779730
"SLC10A4","SLC10A4","4",48483343,48489526
"ZAR1","ZAR1","4",48490252,48494389
"TRRAP","TRRAP","7",98877933,99050831
"DCAF7","DCAF7","17",63550222,63594286
"NFATC2IP","NFATC2IP","16",28950807,28967092
"LINC02927","LINC02927","X",150875735,150920938
"INSRR","INSRR","1",156840063,156859117
"FRYL","FRYL","4",48497357,48780322
"SPANXA2-OT1","SPANXA2-OT1","X",141176743,141649927
"LILRA5","LILRA5","19",54307070,54313166
"KIF20B","KIF20B","10",89701590,89774939
"LINC02931","LINC02931","X",137412444,137569203
"FER1L6-AS1","FER1L6-AS1","8",123984138,124040782
"CDH13","CDH13","16",82626965,83800640
"MATN2","MATN2","8",97868840,98036724
"LRRC47","LRRC47","1",3778559,3796498
"UCN2","UCN2","3",48561718,48563781
"LILRA4","LILRA4","19",54333185,54339162
"TACO1","TACO1","17",63600882,63608365
"TMEM89","TMEM89","3",48620759,48621769
"LINC03077","LINC03077","X",98450688,99071363
"ATXN7L3","ATXN7L3","17",44191805,44200113
"SLC26A6","SLC26A6","3",48625723,48635493
"LAIR1","LAIR1","19",54351384,54370558
"LINC02308","LINC02308","14",81441206,81450377
"TRHDE","TRHDE","12",72087266,72670758
"HSBP1","HSBP1","16",83719311,83819737
"RBM20","RBM20","10",110644336,110839471
"KNOP1","KNOP1","16",19701937,19718235
"LINC03053","LINC03053","X",40006365,40012201
"HEXIM2","HEXIM2","17",45160700,45170040
"OR6C75","OR6C75","12",55362975,55369279
"CCP110","CCP110","16",19523811,19553408
"TBCE","TBCE","1",235367360,235452443
"OR6C76","OR6C76","12",55426254,55427192
"OR6C6","OR6C6","12",55293988,55296569
"SLC16A11","SLC16A11","17",7041621,7044092
"ANP32D","ANP32D","12",48472559,48473622
"C12orf54","C12orf54","12",48482498,48496524
"DLG3-AS1","DLG3-AS1","X",70452956,70456077
"TRIM8","TRIM8","10",102642503,102662789
"DCAKD","DCAKD","17",45023338,45061131
"FUT8-AS1","FUT8-AS1","14",65410768,65412690
"USP27X-DT","USP27X-DT","X",49876242,49879440
"LALBA","LALBA","12",48567684,48570066
"LINC00891","LINC00891","X",71697015,71706455
"LINC02290","LINC02290","14",66111557,66131716
"NEUROD4","NEUROD4","12",55019974,55030017
"OR9K2","OR9K2","12",55126406,55132750
"DUSP16","DUSP16","12",12473282,12562863
"FER1L5","FER1L5","2",96642737,96704887
"PMPCA","PMPCA","9",136410630,136427992
"FBXO43","FBXO43","8",100133351,100145817
"LINC01500","LINC01500","14",58646631,59184247
"RAB18","RAB18","10",27504174,27545117
"MIR223HG","MIR223HG","X",66012419,66020430
"TTYH1","TTYH1","19",54415219,54436904
"HEBP1","HEBP1","12",12974870,13000265
"LINC01181","LINC01181","8",103121032,103132966
"SLC28A2","SLC28A2","15",45252234,45277846
"LMAN2L","LMAN2L","2",96705929,96740064
"GARIN6","GARIN6","12",99647753,99650114
"PRKAG1","PRKAG1","12",49002274,49018807
"LINC01546","LINC01546","X",3271504,3291550
"GPRC5B","GPRC5B","16",19856691,19886167
"LINC00639","LINC00639","14",38699825,38948289
"PTK2B","PTK2B","8",27311482,27459391
"GALNT7","GALNT7","4",173168811,173323967
"FBF1","FBF1","17",75909574,75941140
"IQCK","IQCK","16",19716456,19858467
"GATM","GATM","15",45361124,45402327
"CNNM4","CNNM4","2",96760902,96811874
"METTL14","METTL14","4",118685392,118715433
"WNT8B","WNT8B","10",100463009,100483744
"LENG9","LENG9","19",54461732,54463778
"CNNM3","CNNM3","2",96816245,96835382
"LINC03033","LINC03033","14",61570405,61658696
"CDC42EP5","CDC42EP5","19",54465026,54473296
"NDUFB8","NDUFB8","10",100523668,100530000
"ZNF8","ZNF8","19",58278955,58302791
"SLC35G6","SLC35G6","17",7481446,7483496
"LINC00871","LINC00871","14",45891087,46501903
"PARD6A","PARD6A","16",67660946,67662774
"ZNF544","ZNF544","19",58228594,58277495
"SPECC1","SPECC1","17",20008865,20319026
"RRAGAP1-AS1","RRAGAP1-AS1","14",44763153,44912632
"GLRB","GLRB","4",157076125,157172090
"ANKRD23","ANKRD23","2",96824526,96857934
"ENKD1","ENKD1","16",67662945,67667265
"CELSR3","CELSR3","3",48636463,48662886
"GAD2","GAD2","10",26216665,26304558
"PPP1R13B-DT","PPP1R13B-DT","14",103847687,103880381
"CDKN1B","CDKN1B","12",12685498,12722369
"C16orf86","C16orf86","16",67666814,67668757
"ERP29","ERP29","12",112013348,112023449
"ANKRD39","ANKRD39","2",96836611,96858016
"SLC30A4","SLC30A4","15",45479606,45522755
"PORCN-DT","PORCN-DT","X",48506453,48508906
"GFOD2","GFOD2","16",67674531,67719339
"CDK3","CDK3","17",76000855,76005999
"NUBPL-DT","NUBPL-DT","14",31553351,31561355
"LINC02306","LINC02306","14",25641482,26143511
"PDE5A","PDE5A","4",119494397,119628804
"LINC02959","LINC02959","19",31465653,31466431
"SEMA4C","SEMA4C","2",96859718,96870757
"KCNC3","KCNC3","19",50311937,50333515
"BLOC1S6","BLOC1S6","15",45587214,45615945
"GPR142","GPR142","17",74367458,74372600
"GALNT16-AS1","GALNT16-AS1","14",69183015,69214092
"RAP2C-AS1","RAP2C-AS1","X",132161687,132432862
"EPN2","EPN2","17",19215615,19336715
"NPIPB6","NPIPB6","16",28342517,28363508
"NAA25","NAA25","12",112026689,112108796
"LINC01551","LINC01551","14",28765640,28823817
"NCKIPSD","NCKIPSD","3",48673844,48686364
"NR1H2","NR1H2","19",50329653,50383388
"PABPC1L2B-AS1","PABPC1L2B-AS1","X",72945831,73080073
"CIITA","CIITA","16",10866222,10943021
"LINC02281","LINC02281","14",28791775,28830223
"LINC02282","LINC02282","14",28782819,28785937
"POLR2J3","POLR2J3","7",102537918,102572653
"YME1L1","YME1L1","10",27110088,27155266
"TOMM20L-DT","TOMM20L-DT","14",58339709,58395843
"PSMA3-AS1","PSMA3-AS1","14",58265365,58298641
"RAMP1","RAMP1","2",237858893,237912106
"PCSK5","PCSK5","9",75890644,76362975
"PABPC5-AS1","PABPC5-AS1","X",91277171,91435246
"MOGAT1","MOGAT1","2",222671658,222709930
"MAGEA8-AS1","MAGEA8-AS1","X",149876186,149897038
"L1CAM-AS1","L1CAM-AS1","X",153879166,153888990
"ACSL3-AS1","ACSL3-AS1","2",222917387,222919363
"SQOR","SQOR","15",45631148,45691281
"LINC01285","LINC01285","X",118839538,118919669
"ACSL3","ACSL3","2",222860942,222944639
"UPK3BL2","UPK3BL2","7",102537919,102543696
"MEG8","MEG8","14",100883057,101038859
"TRAFD1","TRAFD1","12",112125538,112153604
"IP6K2","IP6K2","3",48688003,48740353
"POLR2J2","POLR2J2","7",102665368,102671663
"ADCYAP1R1","ADCYAP1R1","7",31052308,31111474
"ITGB1","ITGB1","10",32887273,33005792
"SYP-AS1","SYP-AS1","X",49198833,49202457
"SLC35G3","SLC35G3","17",35192520,35194393
"LINC00629","LINC00629","X",134549747,134560401
"RUNDC1","RUNDC1","17",42980565,42995142
"RFK","RFK","9",76385526,76394517
"EFCAB5","EFCAB5","17",29929200,30108452
"MIR503HG","MIR503HG","X",134543118,134549644
"HAUS3","HAUS3","4",2227464,2242133
"HECTD4","HECTD4","12",112160188,112382439
"TRBV20OR9-2","TRBV20OR9-2","9",33617845,33618508
"SLC1A1","SLC1A1","9",4490468,4587469
"USP8","USP8","15",50424380,50514421
"RBM25-AS1","RBM25-AS1","14",73027680,73059453
"ZNF518B","ZNF518B","4",10439880,10457426
"OR11A1","OR11A1","6",29425504,29457071
"FRMD1","FRMD1","6",168053095,168101511
"CRACD","CRACD","4",56049098,56330609
"ATP6V1C1","ATP6V1C1","8",103021063,103073051
"SPIB","SPIB","19",50418938,50431314
"LINC00640","LINC00640","14",51326941,51365560
"XACT","XACT","X",113616300,114059289
"COL7A1","COL7A1","3",48564073,48595329
"LINC01220","LINC01220","14",75294281,75306996
"PTER","PTER","10",16436943,16513745
"PLPP6","PLPP6","9",4662294,4665258
"TNS3","TNS3","7",47275154,47582558
"LINC00519","LINC00519","14",51304101,51331955
"TANC2","TANC2","17",62966235,63427703
"CDC37L1","CDC37L1","9",4679559,4708399
"FLRT2-AS1","FLRT2-AS1","14",85493931,85531660
"LINC01201","LINC01201","X",130981590,131067468
"LINC00911","LINC00911","14",85393828,85420550
"C1QL3","C1QL3","10",16513734,16521879
"DENND4B","DENND4B","1",153929501,153946718
"MYBPC2","MYBPC2","19",50432892,50466321
"LINC02286","LINC02286","14",25124467,25156314
"PLXNB3-AS1","PLXNB3-AS1","X",153735626,153766488
"SRGN","SRGN","10",69088103,69104811
"AK3","AK3","9",4709556,4742043
"SRP72","SRP72","4",56467617,56503681
"C1RL","C1RL","12",7089587,7109238
"RIPOR1","RIPOR1","16",67518418,67546788
"LINC01186","LINC01186","X",46256759,46327716
"NCALD","NCALD","8",101686542,102124907
"LINC01629","LINC01629","14",76959552,76970795
"JMJD1C-AS1","JMJD1C-AS1","10",63465184,63502929
"LOXL3","LOXL3","2",74532258,74555690
"LINC00645","LINC00645","14",27529238,27639636
"CCDC57","CCDC57","17",82101460,82212878
"GARIN5A","GARIN5A","19",50466785,50476848
"FGF6","FGF6","12",4428155,4445815
"PRMT5-AS1","PRMT5-AS1","14",22918947,22926900
"MID1IP1-AS1","MID1IP1-AS1","X",38779495,38870856
"DDIT3","DDIT3","12",57516588,57521737
"LINC00701","LINC00701","10",2276454,2315354
"SIPA1L1-AS1","SIPA1L1-AS1","14",71292719,71321892
"JAKMIP3-AS1","JAKMIP3-AS1","10",132181225,132185962
"CCR6","CCR6","6",167111807,167139141
"CRTC2","CRTC2","1",153947669,153958615
"C5","C5","9",120932987,121075195
"C10orf55","C10orf55","10",73908103,73922810
"LINC02277","LINC02277","14",44392110,44648997
"EMC10","EMC10","19",50476400,50490871
"RAB44","RAB44","6",36697826,36733184
"LINC01515","LINC01515","10",65570338,65880289
"ANAPC7","ANAPC7","12",110372900,110403730
"SEPTIN7","SEPTIN7","7",35800932,35907110
"PPIL1","PPIL1","6",36854827,36874803
"SLC25A11","SLC25A11","17",4937130,4940053
"C6orf89","C6orf89","6",36871870,36928964
"ANXA13","ANXA13","8",123680794,123737402
"RNASE2CP","RNASE2CP","14",20909831,20920307
"ZSCAN1","ZSCAN1","19",58034025,58054631
"USP50","USP50","15",50494018,50546708
"RNF167","RNF167","17",4940008,4945222
"LINC01269","LINC01269","14",70697948,70714886
"ZNF135","ZNF135","19",58059239,58086310
"ZNF25-DT","ZNF25-DT","10",37976710,38004560
"SLIT1-AS1","SLIT1-AS1","10",97102756,97104355
"PI16","PI16","6",36948263,36964837
"SREK1","SREK1","5",66139971,66183615
"TRPM7","TRPM7","15",50552473,50686797
"LINC00648","LINC00648","14",47682429,47901681
"TMEM132C","TMEM132C","12",128267170,128707911
"LINC00269","LINC00269","X",69179553,69209924
"LINC00837","LINC00837","10",28789188,28796126
"RB1CC1","RB1CC1","8",52622458,52745843
"CREB3L4","CREB3L4","1",153967534,153974361
"ATG101","ATG101","12",52069246,52077495
"MTCH1","MTCH1","6",36965807,36986298
"HNRNPD","HNRNPD","4",82352498,82374503
"ZSCAN18","ZSCAN18","19",58083838,58118427
"GOLGA7B-DT","GOLGA7B-DT","10",97818479,97851012
"CLEC12B","CLEC12B","12",10010627,10018796
"FAM181A-AS1","FAM181A-AS1","14",93904730,93927066
"IDI2-AS1","IDI2-AS1","10",1022551,1045425
"OXA1L-DT","OXA1L-DT","14",22668229,22766669
"PPEF1-AS1","PPEF1-AS1","X",18688634,18692701
"LINC02332","LINC02332","14",22556248,22564897
"PTCHD1-AS","PTCHD1-AS","X",22162728,23333685
"DCTN1","DCTN1","2",74361154,74392087
"TAFA2","TAFA2","12",61708273,62279150
"LINC02660","LINC02660","10",3911887,3949354
"DIO2-AS1","DIO2-AS1","14",80211106,80472978
"PFN1","PFN1","17",4945652,4949061
"ZNF329","ZNF329","19",58126248,58155110
"LINC02292","LINC02292","14",95319483,95335757
"LINC02065","LINC02065","5",66205120,66209893
"KIF2A","KIF2A","5",62306162,62391025
"ENO3","ENO3","17",4948092,4957131
"B3GNT8","B3GNT8","19",41425359,41428730
"ZNF503-AS2","ZNF503-AS2","10",75400962,75408982
"SLCO1A2","SLCO1A2","12",21264600,21419594
"SAMD4A-AS1","SAMD4A-AS1","14",54683694,54729339
"HCCS-DT","HCCS-DT","X",10847543,11111284
"RPL36","RPL36","19",5674947,5691875
"MKRN2","MKRN2","3",12557057,12586208
"CPA6","CPA6","8",67422038,67746378
"LINC01467","LINC01467","14",81605338,81623855
"CTCF","CTCF","16",67562467,67639177
"STAG3L5P","STAG3L5P","7",100338197,100338886
"PIM1","PIM1","6",37170152,37175428
"NFIB","NFIB","9",14081843,14398983
"ADIRF-AS1","ADIRF-AS1","10",86965288,86974630
"ZMAT3","ZMAT3","3",178960121,179072215
"MESD","MESD","15",80946289,80989828
"JTB","JTB","1",153974269,153977674
"TMEM217","TMEM217","6",37212180,37258155
"MICOS13","MICOS13","19",5678421,5680516
"NSUN5P2","NSUN5P2","7",72948485,72954717
"ODF1","ODF1","8",102551589,102561018
"LINC02681","LINC02681","10",101252821,101293546
"CFAP161","CFAP161","15",81007033,81149179
"LINC02636","LINC02636","10",69994276,70054209
"BACH2","BACH2","6",89926528,90296843
"MED30","MED30","8",117520713,117540262
"PIK3CA","PIK3CA","3",179148114,179240093
"HSD11B1L","HSD11B1L","19",5680604,5688523
"SLC28A1","SLC28A1","15",84884654,84945798
"MAP3K9-DT","MAP3K9-DT","14",70808811,70816935
"RHOXF1-AS1","RHOXF1-AS1","X",120036236,120146855
"PLCE1-AS2","PLCE1-AS2","10",94081950,94108814
"PAPOLA-DT","PAPOLA-DT","14",96500810,96502342
"PTCSC3","PTCSC3","14",36130677,36217284
"PLEKHG7","PLEKHG7","12",92702843,92772455
"MEG9","MEG9","14",101042908,101072937
"RAB13","RAB13","1",153981617,153986358
"RDH10","RDH10","8",73294602,73325281
"PITPNM2","PITPNM2","12",122983480,123151090
"SPAG7","SPAG7","17",4959226,4967817
"CCT6P3","CCT6P3","7",65064999,65073848
"TRERF1","TRERF1","6",42224931,42452051
"RNF19A","RNF19A","8",100257060,100336218
"GTF2IP1","GTF2IP1","7",75187242,75217264
"TMLHE-AS1","TMLHE-AS1","X",155457738,155611616
"RPS27","RPS27","1",153990762,153992155
"HNRNPDL","HNRNPDL","4",82422565,82430462
"CAMTA2","CAMTA2","17",4967992,4987675
"C1orf52","C1orf52","1",85249953,85259672
"GTF2A1-AS1","GTF2A1-AS1","14",81219478,81227694
"GPR50-AS1","GPR50-AS1","X",151175175,151177836
"FKBP9P1","FKBP9P1","7",55682652,55713252
"MAGEA4-AS1","MAGEA4-AS1","X",151904425,151919584
"PMS2P3","PMS2P3","7",75510931,75516235
"VNN1","VNN1","6",132680849,132714055
"TMEM52B","TMEM52B","12",10170542,10191804
"SNHG10","SNHG10","14",95521937,95534925
"RANBP10","RANBP10","16",67723070,67806560
"VNN2","VNN2","6",132743870,132763459
"ZNF767P","ZNF767P","7",149619924,149624565
"RAB2A","RAB2A","8",60516936,60623644
"DPY19L2P4","DPY19L2P4","7",90119539,90124163
"PLEKHG6","PLEKHG6","12",6310436,6328506
"ARPC4","ARPC4","3",9792495,9807101
"CEP104","CEP104","1",3812086,3857396
"DPY19L2P2","DPY19L2P2","7",103175343,103277638
"UBE3A","UBE3A","15",25333728,25439051
"FRMPD3-AS1","FRMPD3-AS1","X",107493619,107547780
"DANT2","DANT2","X",115694493,115969214
"RP9P","RP9P","7",32916815,32943038
"LINC02298","LINC02298","14",105032855,105101973
"NSUN5P1","NSUN5P1","7",75410368,75416597
"HAVCR1","HAVCR1","5",157026742,157069396
"SBDSP1","SBDSP1","7",72829656,72836701
"STAG3L4","STAG3L4","7",67305987,67309715
"PMS2P4","PMS2P4","7",67295608,67299424
"PIGX","PIGX","3",196639775,196736007
"STK3","STK3","8",98371228,98942827
"GTF2IRD1P1","GTF2IRD1P1","7",66815836,66833026
"TSNAXIP1","TSNAXIP1","16",67806765,67832148
"SLC41A2","SLC41A2","12",104801801,104958744
"DPY19L2P3","DPY19L2P3","7",29650227,29742594
"DANT1","DANT1","X",115840798,115908066
"PUS7","PUS7","7",105439661,105522271
"LINC00523","LINC00523","14",100657245,100676069
"LINC02654","LINC02654","10",16276871,16295858
"PWP1","PWP1","12",107685799,107713162
"SUV39H2-DT","SUV39H2-DT","10",14864021,14879668
"TXNRD3","TXNRD3","3",126571779,126655124
"MEG3","MEG3","14",100779206,100861031
"LINC00703","LINC00703","10",4382211,4410809
"SLC25A5-AS1","SLC25A5-AS1","X",119465986,119469783
"TTC23L","TTC23L","5",34838833,34900511
"KIF1C","KIF1C","17",4997950,5028401
"KLKB1","KLKB1","4",186226438,186258471
"BRAF","BRAF","7",140719327,140924929
"LINC00709","LINC00709","10",9275446,9287057
"ZNF674-AS1","ZNF674-AS1","X",46545438,46564575
"C6orf132","C6orf132","6",42092233,42142620
"ZNF503-AS1","ZNF503-AS1","10",75243548,75373500
"ATP6V0D2","ATP6V0D2","8",85987323,86154225
"PRDM4","PRDM4","12",107732871,107761272
"CLIC1","CLIC1","6",31730581,31739763
"HTR1F","HTR1F","3",87792706,87993839
"TOX","TOX","8",58805412,59119147
"SLC52A1","SLC52A1","17",5032600,5052009
"ABHD14B","ABHD14B","3",51968510,51983409
"SLC25A31","SLC25A31","4",127730400,127774292
"PRDM4-AS1","PRDM4-AS1","12",107736555,107759968
"ASAP1","ASAP1","8",130052104,130443674
"ASCL4","ASCL4","12",107774704,107776644
"TMEM132B","TMEM132B","12",125186386,125662377
"ZFP3","ZFP3","17",5078467,5096374
"SKIC3","SKIC3","5",95461755,95555050
"USP6","USP6","17",5116032,5175034
"HSPA4L","HSPA4L","4",127781821,127840733
"LINC02642","LINC02642","10",7443777,7514246
"ANKS6","ANKS6","9",98731329,98796965
"PCBP2","PCBP2","12",53452102,53481162
"LINC02651","LINC02651","10",69684807,69692452
"LINC02666","LINC02666","10",129784869,129806971
"LINC02639","LINC02639","10",3828641,3834735
"LNCAROD","LNCAROD","10",52445975,52755570
"TLR9","TLR9","3",52221080,52225645
"RFC4","RFC4","3",186789880,186807058
"DFFB","DFFB","1",3857267,3885429
"LONP1","LONP1","19",5691834,5720572
"GALNT12","GALNT12","9",98807670,98850081
"LINC01518","LINC01518","10",42644445,42691745
"PLEKHG1","PLEKHG1","6",150599883,150843665
"HLA-B","HLA-B","6",31353872,31367067
"C3orf80","C3orf80","3",160225422,160228213
"LINC02643","LINC02643","10",21339915,21372953
"OR5K1","OR5K1","3",98463201,98472924
"ADIPINT","ADIPINT","9",98911204,98929534
"STAC","STAC","3",36380503,36548007
"CENPP","CENPP","9",92325953,92620529
"LINC00838","LINC00838","10",33759713,33773930
"NEBL-AS1","NEBL-AS1","10",21173599,21182579
